Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Riviere du Loup, QC","311, boul. Hotel-de-Ville",Riviere du Loup,QC,RiviereduLoup_QC,G5R 5S4,Canada,4,"47.820698, -69.556444",40,Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=607
"Eureka, CA","Bayshore Mall, 3300 Broadway St",Eureka,CA,Eureka_CA,95501,USA,8,"40.778787, -124.188448",6,Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=753
"Laurel, MD",14700 Baltimore Ave,Laurel,MD,Laurel_MD,20707,USA,8,"39.09506, -76.858193",55,Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=774
"Sulphur Springs, TX",300 Block of Tomlinson St,Sulphur Springs,TX,SulphurSprings_TX,75482,USA,8,"33.137078, -95.603048",151,Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=782
"Erie, PA",2225 Downs Dr,Erie,PA,Erie_PA,16509,USA,6,"42.049473, -80.086281",358,Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=786
"Lindale, TX",Collin Street Bakery 17044 I-20,Lindale,TX,Lindale_TX,75771,USA,8,"32.470709, -95.45098",167,Construction,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=787
"Rolla, MO",1705 Martin Spring Dr,Rolla,MO,Rolla_MO,65401,USA,8,"37.939955, -91.802578",293,Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=791
"Peru, IL",1651 Midtown Rd,Peru,IL,Peru_IL,61354,USA,8,"41.347767, -89.126105",195,Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=794
"Santa Ana, CA",2800 N Main St,Santa Ana,CA,SantaAna_CA,92705,USA,12,"33.774811, -117.871671",47,Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=796
"Lima, MT","108 Bailey St,",Lima,MT,Lima_MT,59739,USA,6,"44.632745, -112.591203","1,912",Permit,1/0/1900,http://www.teslamotors.com/findus/location/supercharger/undefined,http://supercharge.info/service/supercharge/discuss?siteId=800
