connectivity,efficiency,label
4.47E+00,2.55E-02,1.00E+00
3.62E+00,1.62E-02,1.00E+00
3.11E+00,1.18E-02,0.00E+00
3.12E+00,1.18E-02,0.00E+00
2.91E+00,1.15E-02,0.00E+00
2.93E+00,1.15E-02,0.00E+00
2.93E+00,1.13E-02,1.00E+00
4.32E+00,1.02E-02,0.00E+00
4.32E+00,8.14E-03,1.00E+00
3.71E+00,7.16E-03,0.00E+00
3.13E+00,6.64E-03,1.00E+00
3.09E+00,6.52E-03,1.00E+00
2.66E+00,4.19E-03,0.00E+00
2.97E+00,3.88E-03,0.00E+00
2.51E+00,3.65E-03,0.00E+00
2.51E+00,3.46E-03,0.00E+00
2.51E+00,3.26E-03,0.00E+00
4.09E+00,3.00E-03,1.00E+00
2.42E+00,2.98E-03,0.00E+00
3.96E+00,2.93E-03,0.00E+00
2.42E+00,2.78E-03,0.00E+00
2.18E+00,2.71E-03,1.00E+00
2.42E+00,2.64E-03,0.00E+00
3.87E+00,2.55E-03,0.00E+00
2.42E+00,2.50E-03,0.00E+00
2.39E+00,2.32E-03,0.00E+00
2.39E+00,2.28E-03,0.00E+00
2.39E+00,2.16E-03,0.00E+00
4.03E+00,2.15E-03,0.00E+00
2.39E+00,2.10E-03,0.00E+00
2.39E+00,2.07E-03,0.00E+00
2.39E+00,1.95E-03,0.00E+00
3.06E+00,1.92E-03,0.00E+00
2.39E+00,1.91E-03,0.00E+00
2.39E+00,1.91E-03,0.00E+00
3.28E+00,1.90E-03,0.00E+00
3.33E+00,1.89E-03,1.00E+00
3.25E+00,1.84E-03,0.00E+00
2.39E+00,1.84E-03,0.00E+00
4.07E+00,1.82E-03,0.00E+00
4.71E+00,1.81E-03,1.00E+00
2.39E+00,1.72E-03,0.00E+00
2.87E+00,1.71E-03,0.00E+00
3.28E+00,1.71E-03,0.00E+00
3.26E+00,1.71E-03,0.00E+00
2.39E+00,1.70E-03,0.00E+00
3.67E+00,1.69E-03,1.00E+00
2.39E+00,1.59E-03,0.00E+00
2.39E+00,1.57E-03,0.00E+00
3.06E+00,1.56E-03,1.00E+00
3.59E+00,1.54E-03,0.00E+00
3.69E+00,1.53E-03,0.00E+00
4.17E+00,1.52E-03,0.00E+00
2.36E+00,1.51E-03,0.00E+00
4.13E+00,1.45E-03,0.00E+00
2.69E+00,1.43E-03,0.00E+00
2.36E+00,1.42E-03,0.00E+00
3.50E+00,1.41E-03,0.00E+00
2.36E+00,1.38E-03,0.00E+00
3.67E+00,1.37E-03,0.00E+00
4.17E+00,1.34E-03,0.00E+00
2.40E+00,1.33E-03,1.00E+00
2.69E+00,1.28E-03,0.00E+00
2.45E+00,1.28E-03,0.00E+00
2.36E+00,1.19E-03,0.00E+00
